danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,id
0.429,0.119,9.0,-17.219,1.0,0.0611,0.762,0.0,0.113,0.225,211.165,13.0,1OVtS5FkXx73hqQmWflOA5
0.654,0.287,9.0,-19.071,0.0,0.0778,0.562,0.00446,0.0915,0.708,90.086,7.0,0OSNN0ABo1HMgfGeMQ3pCr
0.499,0.342,0.0,-8.728,1.0,0.0246,0.782,0.705,0.108,0.52,85.538,2.0,0BoypJFFJNUpFuJswxBCea
0.473,0.735,9.0,-8.921,1.0,0.0296,0.0603,0.0,0.15,0.754,132.506,1.0,20MBLB1TCm3tQK3XZlHXTK
0.503,0.614,7.0,-7.814,1.0,0.0283,0.123,0.023,0.17,0.313,111.148,10.0,70jnaGaj1rtpyABfUURpvr
0.576,0.591,0.0,-9.959,1.0,0.027,0.191,0.0,0.0678,0.479,108.444,3.0,2vRdgBjvjF6LHaWVssDeGN
0.188,0.55,2.0,-9.33,1.0,0.0372,0.541,0.0,0.289,0.568,177.094,4.0,7jvptnW3PMozIQq4C6uJB9
0.201,0.494,2.0,-7.513,1.0,0.0331,0.401,0.00159,0.0345,0.383,81.416,11.0,2Vio9orJlk0fFVeO0CgtA6
0.228,0.241,9.0,-20.925,0.0,0.0347,0.0475,1.36e-05,0.344,0.149,140.087,7.0,0MjNwys4xsfX3MoiJUtMfw
0.265,0.78,4.0,-6.959,1.0,0.0392,0.00254,0.134,0.319,0.477,112.482,10.0,5dDPFVD26G55XYYaKIexRS
0.434,0.546,0.0,-10.384,0.0,0.0379,0.0345,0.098,0.0935,0.465,121.738,9.0,2Ajtl0ro60h3VN3rD3Y1IF
0.471,0.717,0.0,-9.979,1.0,0.0318,0.0693,0.00556,0.196,0.832,135.253,3.0,0PKrvcdX7PUgubTWn0LDQ7
0.25,0.821,7.0,-7.694,1.0,0.075,0.000551,0.00181,0.335,0.81,190.203,4.0,1MlsQwhm6MU3PYMHNIc2YS
0.691,0.567,8.0,-12.298,1.0,0.165,0.00893,8.48e-05,0.112,0.388,149.028,10.0,27aeWRq1h65omUnS16hciN
0.706,0.365,7.0,-16.953,1.0,0.0346,0.298,0.577,0.114,0.47,114.869,2.0,6Nny1WrFpBvhgbqHhI4j0W
0.576,0.864,9.0,-8.34,1.0,0.0298,0.235,0.039,0.144,0.902,127.856,1.0,6yUIyHqIrx854Jief095VE
0.541,0.605,2.0,-8.805,1.0,0.038,0.551,0.000297,0.589,0.902,127.991,12.0,1IuGT2KA8frxhR24zefSFe
0.447,0.449,2.0,-10.634,1.0,0.0376,0.934,0.961,0.0697,0.036,92.468,2.0,1BncfTJAWxrsxyT9culBrj
0.441,0.00957,7.0,-26.839,1.0,0.0308,0.987,0.884,0.0954,0.373,75.403,8.0,5gbZe9oyXXQDMLXFGsR4YC
0.136,0.164,4.0,-18.756,0.0,0.0364,0.911,0.916,0.109,0.071,58.303,8.0,2xizRhme7pYeITbH1NLLGt
0.315,0.22,9.0,-21.343,1.0,0.0514,0.987,0.943,0.0802,0.116,145.195,8.0,2agBDIr9MYDUducQPC1sFU
0.529,0.0103,1.0,-35.011,1.0,0.0304,0.995,0.938,0.0958,0.281,95.031,8.0,5w3O0ONMHCM9YmTS96fplL
