danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.692,0.79,5.0,-14.065,1.0,0.0416,0.074,0.711,0.101,0.96,128.13,audio_features,7B7lf3sIze5VR2WuYttn18,spotify:track:7B7lf3sIze5VR2WuYttn18,https://api.spotify.com/v1/tracks/7B7lf3sIze5VR2WuYttn18,https://api.spotify.com/v1/audio-analysis/7B7lf3sIze5VR2WuYttn18,495187.0,4.0,
0.764,0.57,0.0,-11.361,1.0,0.0348,0.45,0.362,0.0812,0.972,115.376,audio_features,6UjlpJhUqOQqv0hrb38IDI,spotify:track:6UjlpJhUqOQqv0hrb38IDI,https://api.spotify.com/v1/tracks/6UjlpJhUqOQqv0hrb38IDI,https://api.spotify.com/v1/audio-analysis/6UjlpJhUqOQqv0hrb38IDI,219933.0,4.0,
0.571,0.654,2.0,-11.034,0.0,0.0501,0.551,0.0,0.0599,0.947,117.955,audio_features,3GGcwG519BTMdvMeFy7meT,spotify:track:3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/tracks/3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/audio-analysis/3GGcwG519BTMdvMeFy7meT,235267.0,4.0,
0.787,0.662,0.0,-11.447,1.0,0.0378,0.0148,0.0,0.328,0.868,119.734,audio_features,6UW4Uo5zRI5gJw5urNwiwN,spotify:track:6UW4Uo5zRI5gJw5urNwiwN,https://api.spotify.com/v1/tracks/6UW4Uo5zRI5gJw5urNwiwN,https://api.spotify.com/v1/audio-analysis/6UW4Uo5zRI5gJw5urNwiwN,225893.0,4.0,
0.764,0.816,5.0,-8.017,1.0,0.109,0.0378,0.0164,0.0775,0.85,128.541,audio_features,0LqPXq2pKXnydc96PvTK3v,spotify:track:0LqPXq2pKXnydc96PvTK3v,https://api.spotify.com/v1/tracks/0LqPXq2pKXnydc96PvTK3v,https://api.spotify.com/v1/audio-analysis/0LqPXq2pKXnydc96PvTK3v,507000.0,4.0,
0.802,0.599,5.0,-11.259,1.0,0.0537,0.0585,0.00602,0.0804,0.886,114.651,audio_features,26FOglnpqOEWUyspcbNYq6,spotify:track:26FOglnpqOEWUyspcbNYq6,https://api.spotify.com/v1/tracks/26FOglnpqOEWUyspcbNYq6,https://api.spotify.com/v1/audio-analysis/26FOglnpqOEWUyspcbNYq6,228533.0,4.0,
0.765,0.927,5.0,-5.715,0.0,0.0399,0.0156,5.97e-06,0.0391,0.927,113.326,audio_features,3Hya20ZNnlLzGLCpzJR6bv,spotify:track:3Hya20ZNnlLzGLCpzJR6bv,https://api.spotify.com/v1/tracks/3Hya20ZNnlLzGLCpzJR6bv,https://api.spotify.com/v1/audio-analysis/3Hya20ZNnlLzGLCpzJR6bv,241920.0,4.0,
0.77,0.858,10.0,-7.086,0.0,0.0492,0.0106,0.685,0.0298,0.76,109.883,audio_features,2H5nsVLjDwWsxfyajm0lVS,spotify:track:2H5nsVLjDwWsxfyajm0lVS,https://api.spotify.com/v1/tracks/2H5nsVLjDwWsxfyajm0lVS,https://api.spotify.com/v1/audio-analysis/2H5nsVLjDwWsxfyajm0lVS,234587.0,4.0,
0.697,0.716,8.0,-12.123,0.0,0.0371,0.111,0.0,0.407,0.928,107.619,audio_features,0nz7eSSUtNM7wLkYE3x1Wl,spotify:track:0nz7eSSUtNM7wLkYE3x1Wl,https://api.spotify.com/v1/tracks/0nz7eSSUtNM7wLkYE3x1Wl,https://api.spotify.com/v1/audio-analysis/0nz7eSSUtNM7wLkYE3x1Wl,207493.0,4.0,
0.802,0.865,1.0,-6.768,0.0,0.0799,0.274,0.00704,0.0555,0.954,127.106,audio_features,2ffCT6Pe2LYriwN2Y5ObIg,spotify:track:2ffCT6Pe2LYriwN2Y5ObIg,https://api.spotify.com/v1/tracks/2ffCT6Pe2LYriwN2Y5ObIg,https://api.spotify.com/v1/audio-analysis/2ffCT6Pe2LYriwN2Y5ObIg,462000.0,4.0,
0.462,0.884,0.0,-8.722,1.0,0.0984,0.0852,0.0484,0.798,0.551,106.395,audio_features,1jR4bgFyL3ut5ExAKDDNEZ,spotify:track:1jR4bgFyL3ut5ExAKDDNEZ,https://api.spotify.com/v1/tracks/1jR4bgFyL3ut5ExAKDDNEZ,https://api.spotify.com/v1/audio-analysis/1jR4bgFyL3ut5ExAKDDNEZ,336467.0,4.0,
0.904,0.67,5.0,-11.168,0.0,0.0501,0.313,0.000457,0.257,0.912,124.137,audio_features,5xRaPHjgYoxOZjpwsDsbnp,spotify:track:5xRaPHjgYoxOZjpwsDsbnp,https://api.spotify.com/v1/tracks/5xRaPHjgYoxOZjpwsDsbnp,https://api.spotify.com/v1/audio-analysis/5xRaPHjgYoxOZjpwsDsbnp,233867.0,4.0,
0.831,0.782,4.0,-10.48,0.0,0.0595,0.0731,0.0171,0.032,0.631,107.877,audio_features,5VJjhHyG8NZ5xdgG6uTb3P,spotify:track:5VJjhHyG8NZ5xdgG6uTb3P,https://api.spotify.com/v1/tracks/5VJjhHyG8NZ5xdgG6uTb3P,https://api.spotify.com/v1/audio-analysis/5VJjhHyG8NZ5xdgG6uTb3P,208893.0,4.0,
0.699,0.604,9.0,-13.404,0.0,0.0359,0.0185,0.073,0.0868,0.96,114.226,audio_features,7ooheiWgbyNtGOBTPbjNoq,spotify:track:7ooheiWgbyNtGOBTPbjNoq,https://api.spotify.com/v1/tracks/7ooheiWgbyNtGOBTPbjNoq,https://api.spotify.com/v1/audio-analysis/7ooheiWgbyNtGOBTPbjNoq,413587.0,4.0,
0.697,0.658,7.0,-6.94,0.0,0.0319,0.00143,0.156,0.181,0.899,107.515,audio_features,2PkBUlyRJgmPIRFo0PTRCU,spotify:track:2PkBUlyRJgmPIRFo0PTRCU,https://api.spotify.com/v1/tracks/2PkBUlyRJgmPIRFo0PTRCU,https://api.spotify.com/v1/audio-analysis/2PkBUlyRJgmPIRFo0PTRCU,285107.0,4.0,
